date,estimated,date_of_insertion_unix
2021-02-16,1473,1618317591
2021-02-17,2947,1618317591
2021-02-18,6939,1618317591
2021-02-19,13386,1618317591
2021-02-20,13386,1618317591
2021-02-21,13386,1618317591
2021-02-22,19834,1618317591
2021-02-23,26282,1618317591
2021-02-24,36251,1618317591
2021-02-25,49596,1618317591
2021-02-26,62919,1618317591
2021-02-27,62919,1618317591
2021-02-28,63003,1618317591
2021-03-01,79523,1618317591
2021-03-02,94571,1618317591
2021-03-03,109619,1618317591
2021-03-04,122117,1618317591
2021-03-05,132159,1618317591
2021-03-06,132159,1618317591
2021-03-07,132159,1618317591
2021-03-08,142201,1618317591
2021-03-09,152243,1618317591
2021-03-10,163466,1618317591
2021-03-11,174992,1618317591
2021-03-12,186372,1618317591
2021-03-13,186372,1618317591
2021-03-14,186372,1618317591
2021-03-15,186372,1618317591
2021-03-16,186372,1618317591
2021-03-17,186372,1618317591
2021-03-18,186372,1618317591
2021-03-19,186372,1618317591
2021-03-20,186372,1618317591
2021-03-21,186372,1618317591
2021-03-22,186372,1618317591
2021-03-23,186372,1618317591
2021-03-24,201086,1618317591
2021-03-25,215800,1618317591
2021-03-26,230514,1618317591
2021-03-27,230514,1618317591
2021-03-28,230514,1618317591
2021-03-29,245228,1618317591
2021-03-30,263693,1618317591
2021-03-31,285481,1618317591
2021-04-01,309704,1618317591
2021-04-02,329360,1618317591
2021-04-03,329360,1618317591
2021-04-04,329360,1618317591
2021-04-05,331774,1618317591
2021-04-06,331774,1618317591
2021-04-07,331774,1618317591
2021-04-08,331774,1618317591
2021-04-09,331774,1618317591
2021-04-10,331774,1618317591
2021-04-12,750623,1619524922
2021-04-13,793677,1619524922
2021-04-14,836451,1619524922
2021-04-15,879093,1619524922
2021-04-16,917931,1619524922
2021-04-17,954957,1619524922
2021-04-18,990186,1619524922
2021-04-19,1020709,1619524922
2021-04-20,1042948,1619524922
2021-04-21,1058077,1619524922
2021-04-22,1066229,1619524922
2021-04-23,1077709,1619524922
2021-04-24,1086365,1619524922
2021-04-25,1092359,1619524922
2021-04-26,1098353,1619524922
2021-04-27,982630,1623153742
2021-04-28,990674,1623153742
2021-04-29,1003939,1623153742
2021-04-30,1019533,1623153742
2021-05-01,1037062,1623153742
2021-05-02,1052207,1623153742
2021-05-03,1066071,1623153742
2021-05-04,1081057,1623153742
2021-05-05,1094822,1623153742
2021-05-06,1112343,1623153742
2021-05-07,1125426,1623153742
2021-05-08,1142339,1623153742
2021-05-09,1157070,1623153742
2021-05-10,1168694,1623153742
2021-05-11,1189052,1623153742
2021-05-12,1221541,1623153742
2021-05-13,1250317,1623153742
2021-05-14,1269887,1623153742
2021-05-15,1296240,1623153742
2021-05-16,1318923,1623153742
2021-05-17,1340598,1623153742
2021-05-18,1364751,1623153742
2021-05-19,1385524,1623153742
2021-05-20,1406215,1623153742
2021-05-21,1423089,1623153742
2021-05-22,1439374,1623153742
2021-05-23,1455338,1623153742
2021-05-24,1467577,1623153742
2021-05-25,1475759,1623153742
2021-05-26,1486997,1623153742
2021-05-27,1500396,1623153742
2021-05-28,1507807,1623153742
2021-05-29,1519504,1623153742
2021-05-30,1528984,1623153742
2021-05-31,1537355,1623153742
2021-06-01,1551550,1623153742
2021-06-02,1567673,1623153742
2021-06-03,1589376,1623153742
2021-06-04,1613494,1623153742
2021-06-05,1638192,1623153742
2021-06-06,1660645,1623153742
2021-06-07,1683039,1623326560
2021-06-08,1701910,1623326560
2021-06-09,1729170,1623326560
