date,estimated,date_of_insertion_unix
2021-01-06,44,1618317591
2021-01-07,128,1618317591
2021-01-08,1022,1618317591
2021-01-09,2018,1618317591
2021-01-10,2934,1618317591
2021-01-11,4726,1618317591
2021-01-12,6587,1618317591
2021-01-13,8506,1618317591
2021-01-14,10487,1618317591
2021-01-15,19332,1618317591
2021-01-16,28447,1618317591
2021-01-17,37591,1618317591
2021-01-18,47673,1618317591
2021-01-19,57579,1618317591
2021-01-20,67579,1618317591
2021-01-21,77597,1618317591
2021-01-22,87591,1618317591
2021-01-23,97279,1618317591
2021-01-24,107100,1618317591
2021-01-25,116593,1618317591
2021-01-26,128311,1618317591
2021-01-27,140205,1618317591
2021-01-28,152253,1618317591
2021-01-29,152253,1618317591
2021-01-30,176286,1618317591
2021-01-31,187339,1618317591
2021-02-01,203559,1618317591
2021-02-02,222486,1618317591
2021-02-03,245278,1618317591
2021-02-04,269801,1618317591
2021-02-05,295159,1618317591
2021-02-06,320982,1618317591
2021-02-07,321042,1618317591
2021-02-08,340601,1618317591
2021-02-09,366436,1618317591
2021-02-10,395742,1618317591
2021-02-11,424894,1618317591
2021-02-12,454614,1618317591
2021-02-13,483804,1618317591
2021-02-14,512392,1618317591
2021-02-15,528988,1618317591
2021-02-16,559635,1618317591
2021-02-17,592755,1618317591
2021-02-18,625081,1618317591
2021-02-19,656348,1618317591
2021-02-20,685338,1618317591
2021-02-21,712193,1618317591
2021-02-22,741003,1618317591
2021-02-23,768413,1618317591
2021-02-24,794070,1618317591
2021-02-25,818242,1618317591
2021-02-26,837044,1618317591
2021-02-27,855368,1618317591
2021-02-28,871214,1618317591
2021-03-01,892838,1618317591
2021-03-02,913875,1618317591
2021-03-03,934371,1618317591
2021-03-04,954564,1618317591
2021-03-05,974599,1618317591
2021-03-06,994281,1618317591
2021-03-07,1013640,1618317591
2021-03-08,1039508,1618317591
2021-03-09,1067651,1618317591
2021-03-10,1099096,1618317591
2021-03-11,1130595,1618317591
2021-03-12,1166041,1618317591
2021-03-13,1198626,1618317591
2021-03-14,1225768,1618317591
2021-03-15,1247386,1618317591
2021-03-16,1277330,1618317591
2021-03-17,1302259,1618317591
2021-03-18,1330189,1618317591
2021-03-19,1358891,1618317591
2021-03-20,1388433,1618317591
2021-03-21,1416190,1618317591
2021-03-22,1437079,1618317591
2021-03-23,1459670,1618317591
2021-03-24,1489735,1618317591
2021-03-25,1521804,1618317591
2021-03-26,1551574,1618317591
2021-03-27,1583421,1618317591
2021-03-28,1604252,1618317591
2021-03-29,1641754,1618317591
2021-03-30,1679929,1618317591
2021-03-31,1718139,1618317591
2021-04-01,1759722,1618317591
2021-04-02,1802410,1618317591
2021-04-03,1841265,1618317591
2021-04-04,1877682,1618317591
2021-04-05,1919046,1618317591
2021-04-06,1963408,1618317591
2021-04-07,2009956,1618317591
2021-04-08,2059093,1618317591
2021-04-09,2107543,1618317591
2021-04-10,2154470,1618317591
2021-04-12,2263049,1619524922
2021-04-13,2328980,1619524922
2021-04-14,2395212,1619524922
2021-04-15,2460952,1619524922
2021-04-16,2526423,1619524922
2021-04-17,2591512,1619524922
2021-04-18,2654228,1619524922
2021-04-19,2726273,1619524922
2021-04-20,2796491,1619524922
2021-04-21,2865487,1619524922
2021-04-22,2935098,1619524922
2021-04-23,3005664,1619524922
2021-04-24,3075486,1619524922
2021-04-25,3141439,1619524922
2021-04-26,3214433,1619524922
2021-04-27,3285136,1623153742
2021-04-28,3357134,1623153742
2021-04-29,3429039,1623153742
2021-04-30,3498185,1623153742
2021-05-01,3573168,1623153742
2021-05-02,3641673,1623153742
2021-05-03,3724767,1623153742
2021-05-04,3806799,1623153742
2021-05-05,3896411,1623153742
2021-05-06,3979256,1623153742
2021-05-07,4066136,1623153742
2021-05-08,4153046,1623153742
2021-05-09,4237149,1623153742
2021-05-10,4338718,1623153742
2021-05-11,4440285,1623153742
2021-05-12,4545918,1623153742
