date,reported,date_of_insertion_unix
2021-01-24,40216,1614088896
2021-01-25,40216,1614088896
2021-01-26,40216,1614088896
2021-01-27,46416,1614088896
2021-01-28,46416,1614088896
2021-01-29,57216,1614088896
2021-01-30,0,1614088896
2021-01-31,60716,1614088896
2021-02-01,73716,1614088896
2021-02-02,81216,1614088896
2021-02-03,85216,1614088896
2021-02-04,86716,1614088896
2021-02-05,87816,1614088896
2021-02-06,93216,1614088896
2021-02-07,93816,1614088896
2021-02-08,93816,1614088896
2021-02-09,93816,1614088896
2021-02-10,93816,1614088896
2021-02-11,93816,1614088896
2021-02-12,93816,1614088896
2021-02-13,93816,1614088896
2021-02-14,94469,1614088896
2021-02-15,94551,1614088896
2021-02-16,94551,1614088896
2021-02-17,94551,1614088896
2021-02-18,94551,1614088896
2021-02-19,94551,1614088896
2021-02-20,94551,1614088896
2021-02-21,94551,1614088896
2021-02-22,94551,1614088896
